,SYSTEMSTOP,OBJECTID,the_geom,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,STATUS,PUBLIC_NAM,Longitude,Latitude
9060,15766,9664,POINT (-87.78686258099998 41.95829423599997),NARRAGANSETT,WRIGHT COLLEGE ENTRY DRIVE,SB,NS,86,,CHICAGO,1,Narragansett & Wright College,-87.78686258,41.95829424
9061,11889,9665,POINT (-87.69905 41.977735000999985),CALIFORNIA,BERWYN,SB,NS,93,,CHICAGO,1,California & Berwyn,-87.69905,41.977735
9062,5232,9666,POINT (-87.575629666 41.73150801100002),JEFFERY,90TH STREET,SB,FS,15,,CHICAGO,1,Jeffery & 90th Street,-87.57562967,41.73150801
9063,2530,9667,POINT (-87.62051300000002 41.884780001000024),COLUMBUS,RANDOLPH,NB,FS,4,,CHICAGO,1,Columbus & Randolph,-87.620513,41.88478
9064,12849,9668,POINT (-87.72352828599998 41.798837401000014),PULASKI,5200 SOUTH driveway,SB,NS,53A,,CHICAGO,1,5200 S Pulaski,-87.72352829,41.7988374
9065,2587,9669,POINT (-87.60507596000002 41.742173019000006),COTTAGE GROVE,84TH STREET,SB,NS,4,,CHICAGO,1,Cottage Grove & 84th Street,-87.60507596,41.74217302
9066,11883,9670,POINT (-87.69934500099998 41.98683000099999),CALIFORNIA,ARDMORE,SB,NS,93,,CHICAGO,1,California & Ardmore,-87.699345,41.98683
9067,15800,9671,POINT (-87.80633834499997 41.92378241199998),HARLEM,GRAND,SB,FS,90,,ELMWOOD PARK,1,Harlem & Grand,-87.80633835,41.92378241
9068,9987,9672,POINT (-87.70191948299998 41.72979702399999),KEDZIE,90TH STREET,NB,NS,52A,,EVERGREEN PARK,1,Kedzie & 90th Street,-87.70191948,41.72979702
9069,15324,10543,POINT (-87.669510807 41.808504035),47TH STREET,WOOD,EB,FS,47,,CHICAGO,1,47th Street & Wood,-87.66951081,41.80850404
9070,12976,10544,POINT (-87.67424352900002 41.786564010999996),59TH STREET,DAMEN,EB,NS,59,,CHICAGO,1,59th Street & Damen,-87.67424353,41.78656401
9071,4796,10545,POINT (-87.65889555500002 41.97811113099999),BERWYN,RED LINE STATION,EB,MB,92,,CHICAGO,1,Berwyn & Broadway (Red Line),-87.65889556,41.97811113
9072,17082,10546,POINT (-87.742035198 41.763248610999995),CICERO,7150 SOUTH,SB,MB,54B,,BEDFORD PARK,1,7150 S Cicero,-87.7420352,41.76324861
